"Grupo1","Grupo2","P_value"
"Sc-1","Sc-10",0.137540702699094
"Sc-1","Sc-11",0.206362280668832
"Sc-10","Sc-11",0.473077550018692
"Sc-1","Sc-12",0.307862818606031
"Sc-10","Sc-12",0.364125600861737
"Sc-11","Sc-12",0.466640630116225
"Sc-1","Sc-13",0.0123645142323304
"Sc-10","Sc-13",0.206033129449741
"Sc-11","Sc-13",0.134063690756059
"Sc-12","Sc-13",0.0805093097048913
"Sc-1","Sc-14",0.0610889493172853
"Sc-10","Sc-14",0.354591711715902
"Sc-11","Sc-14",0.297755639637858
"Sc-12","Sc-14",0.210174258199686
"Sc-13","Sc-14",0.361385104485778
"Sc-1","Sc-15",0.349444849265912
"Sc-10","Sc-15",0.0648812452815373
"Sc-11","Sc-15",0.0805301976783112
"Sc-12","Sc-15",0.14136494871849
"Sc-13","Sc-15",0.00121677048606577
"Sc-14","Sc-15",0.0125068934642901
"Sc-1","Sc-16",0.211939639605827
"Sc-10","Sc-16",0.478393028108789
"Sc-11","Sc-16",0.5
"Sc-12","Sc-16",0.471768549128492
"Sc-13","Sc-16",0.139649677870894
"Sc-14","Sc-16",0.304090866013132
"Sc-15","Sc-16",0.0867248282689505
"Sc-1","Sc-2",0.215410975987332
"Sc-10","Sc-2",0.475465453326164
"Sc-11","Sc-2",0.505799951856741
"Sc-12","Sc-2",0.475148013777169
"Sc-13","Sc-2",0.142511152270797
"Sc-14","Sc-2",0.292415686964558
"Sc-15","Sc-2",0.080263150039487
"Sc-16","Sc-2",0.510276057625385
"Sc-1","Sc-3",0.214570567152315
"Sc-10","Sc-3",0.470535774828765
"Sc-11","Sc-3",0.50206916697536
"Sc-12","Sc-3",0.47465561317769
"Sc-13","Sc-3",0.134986265394035
"Sc-14","Sc-3",0.303788419859289
"Sc-15","Sc-3",0.0850629844950858
"Sc-16","Sc-3",0.506434985818623
"Sc-2","Sc-3",0.50822633710437
"Sc-1","Sc-4",0.206550408671299
"Sc-10","Sc-4",0.479182628658229
"Sc-11","Sc-4",0.512685283435084
"Sc-12","Sc-4",0.465928504443209
"Sc-13","Sc-4",0.145388130188245
"Sc-14","Sc-4",0.304698801697976
"Sc-15","Sc-4",0.081054224369011
"Sc-16","Sc-4",0.517432369392816
"Sc-2","Sc-4",0.51007086685058
"Sc-3","Sc-4",0.514633376403091
"Sc-1","Sc-5",0.164898911200677
"Sc-10","Sc-5",0.514405967127622
"Sc-11","Sc-5",0.488172945274504
"Sc-12","Sc-5",0.406363021920806
"Sc-13","Sc-5",0.177355410736236
"Sc-14","Sc-5",0.309074103182174
"Sc-15","Sc-5",0.0668366917857225
"Sc-16","Sc-5",0.493054674727249
"Sc-2","Sc-5",0.47997725351122
"Sc-3","Sc-5",0.500279116748951
"Sc-4","Sc-5",0.513065074163882
"Sc-1","Sc-6",0.369158444899794
"Sc-10","Sc-6",0.299757002494361
"Sc-11","Sc-6",0.360430783478954
"Sc-12","Sc-6",0.474881501100574
"Sc-13","Sc-6",0.0574594330578046
"Sc-14","Sc-6",0.138554671665082
"Sc-15","Sc-6",0.201235579825625
"Sc-16","Sc-6",0.365301469742183
"Sc-2","Sc-6",0.364868085173073
"Sc-3","Sc-6",0.357312668094533
"Sc-4","Sc-6",0.353431844016085
"Sc-5","Sc-6",0.306734726789835
"Sc-1","Sc-7",0.461880913683586
"Sc-10","Sc-7",0.224573805442201
"Sc-11","Sc-7",0.297330769278755
"Sc-12","Sc-7",0.36885317183508
"Sc-13","Sc-7",0.0376052844656225
"Sc-14","Sc-7",0.0876874082007277
"Sc-15","Sc-7",0.266576693187469
"Sc-16","Sc-7",0.302370273842802
"Sc-2","Sc-7",0.305298473660513
"Sc-3","Sc-7",0.300655401356053
"Sc-4","Sc-7",0.30494046805684
"Sc-5","Sc-7",0.279533356329428
"Sc-6","Sc-7",0.483505852621003
"Sc-1","Sc-8",0.212625090199975
"Sc-10","Sc-8",0.480174864493709
"Sc-11","Sc-8",0.496768076073307
"Sc-12","Sc-8",0.475595299289289
"Sc-13","Sc-8",0.142527185752834
"Sc-14","Sc-8",0.295975406894538
"Sc-15","Sc-8",0.0811895002588175
"Sc-16","Sc-8",0.501013957065387
"Sc-2","Sc-8",0.496150303496529
"Sc-3","Sc-8",0.5122551538804
"Sc-4","Sc-8",0.50942195670415
"Sc-5","Sc-8",0.484475575285159
"Sc-6","Sc-8",0.360036887724827
"Sc-7","Sc-8",0.300880034959298
"Sc-1","Sc-9",0.0609673838071941
"Sc-10","Sc-9",0.369270117874132
"Sc-11","Sc-9",0.299618372747443
"Sc-12","Sc-9",0.226277844930881
"Sc-13","Sc-9",0.352433376661027
"Sc-14","Sc-9",0.511722631736317
"Sc-15","Sc-9",0.00979475360270134
"Sc-16","Sc-9",0.304874835427222
"Sc-2","Sc-9",0.303335142802811
"Sc-3","Sc-9",0.301677427427819
"Sc-4","Sc-9",0.305208549982156
"Sc-5","Sc-9",0.346697311313537
"Sc-6","Sc-9",0.14433645796536
"Sc-7","Sc-9",0.112521101419149
"Sc-8","Sc-9",0.301841249376784
